Country,Time,1615.T-Price
JP,2008-01,192.55197143554688
JP,2008-02,178.07638549804688
JP,2008-03,163.01512145996094
JP,2008-04,208.71202087402344
JP,2008-05,206.07351684570312
JP,2008-06,183.8205108642578
JP,2008-07,185.54443359375
JP,2008-08,161.81759643554688
JP,2008-09,158.56060791015625
JP,2008-10,110.63973236083984
JP,2008-11,107.15242004394531
JP,2008-12,113.771728515625
JP,2009-01,105.27718353271484
JP,2009-02,96.06543731689453
JP,2009-03,99.35533905029297
JP,2009-04,103.9612045288086
JP,2009-05,113.83094787597656
JP,2009-06,117.1208724975586
JP,2009-07,111.85701751708984
JP,2009-08,113.83094787597656
JP,2009-09,96.72341918945312
JP,2009-10,96.72341918945312
JP,2009-11,90.14359283447266
JP,2009-12,88.82762145996094
JP,2010-01,92.11753845214844
JP,2010-02,90.14359283447266
JP,2010-03,98.03937530517578
JP,2010-04,98.6973648071289
JP,2010-05,88.82762145996094
JP,2010-06,84.22174835205078
JP,2010-07,83.56377410888672
JP,2010-08,78.2999038696289
JP,2010-09,76.98394012451172
JP,2010-10,74.35200500488281
JP,2010-11,77.64192199707031
JP,2010-12,85.53770446777344
JP,2011-01,85.53770446777344
JP,2011-02,91.45955657958984
JP,2011-03,79.61587524414062
JP,2011-04,76.98394012451172
JP,2011-05,75.66797637939453
JP,2011-06,78.2999038696289
JP,2011-07,75.66797637939453
JP,2011-08,69.74613189697266
JP,2011-09,71.72007751464844
JP,2011-10,70.40411376953125
JP,2011-11,67.77218627929688
JP,2011-12,67.77218627929688
JP,2012-01,71.72007751464844
JP,2012-02,80.93182373046875
JP,2012-03,82.90577697753906
JP,2012-04,78.95787811279297
JP,2012-05,68.43016052246094
JP,2012-06,75.66797637939453
JP,2012-07,72.37806701660156
JP,2012-08,70.40411376953125
JP,2012-09,73.03604125976562
JP,2012-10,73.03604125976562
JP,2012-11,76.32595825195312
JP,2012-12,87.51165771484375
JP,2013-01,99.35533905029297
JP,2013-02,102.645263671875
JP,2013-03,111.85701751708984
JP,2013-04,126.99059295654297
JP,2013-05,113.83094787597656
JP,2013-06,119.09481811523438
JP,2013-07,114.48892211914062
JP,2013-08,113.89557647705078
JP,2013-09,124.0046615600586
JP,2013-10,121.98283386230469
JP,2013-11,127.37433624267578
JP,2013-12,134.78765869140625
JP,2014-01,123.3307113647461
JP,2014-02,118.6131362915039
JP,2014-03,117.939208984375
JP,2014-04,113.89557647705078
JP,2014-05,115.24345397949219
JP,2014-06,124.0046615600586
JP,2014-07,121.30892181396484
JP,2014-08,120.93121337890625
JP,2014-09,127.08023834228516
JP,2014-10,129.12994384765625
JP,2014-11,135.2789764404297
JP,2014-12,132.5460662841797
JP,2015-01,127.08023834228516
JP,2015-02,147.57705688476562
JP,2015-03,144.16091918945312
JP,2015-04,159.19192504882812
JP,2015-05,172.1732635498047
JP,2015-06,166.7074432373047
JP,2015-07,167.39065551757812
JP,2015-08,154.7060089111328
JP,2015-09,143.60604858398438
JP,2015-10,154.01226806640625
JP,2015-11,152.62478637695312
JP,2015-12,148.4622802734375
JP,2016-01,126.26231384277344
JP,2016-02,101.28736114501953
JP,2016-03,107.5311050415039
JP,2016-04,108.22483825683594
JP,2016-05,110.99984741210938
JP,2016-06,95.04360961914062
JP,2016-07,101.28736114501953
JP,2016-08,114.3071060180664
JP,2016-09,107.79593658447266
JP,2016-10,115.75402069091797
JP,2016-11,131.6702117919922
JP,2016-12,139.62828063964844
JP,2017-01,141.0751953125
JP,2017-02,141.7986602783203
JP,2017-03,136.010986328125
JP,2017-04,138.1813507080078
JP,2017-05,132.3936767578125
JP,2017-06,143.24560546875
JP,2017-07,134.5640411376953
JP,2017-08,132.56927490234375
JP,2017-09,142.14370727539062
JP,2017-10,148.77215576171875
JP,2017-11,149.5086669921875
JP,2017-12,155.400634765625
JP,2018-01,155.400634765625
JP,2018-02,146.5626983642578
JP,2018-03,139.93421936035156
JP,2018-04,146.5626983642578
JP,2018-05,138.46124267578125
JP,2018-06,133.30577087402344
JP,2018-07,137.7247314453125
JP,2018-08,136.92333984375
JP,2018-09,144.4881591796875
JP,2018-10,136.92333984375
JP,2018-11,133.1409149169922
JP,2018-12,115.7418212890625
JP,2019-01,122.5501708984375
JP,2019-02,121.7936782836914
JP,2019-03,118.76776123046875
JP,2019-04,119.52425384521484
JP,2019-05,111.20294189453125
JP,2019-06,111.20294189453125
JP,2019-07,105.90756225585938
JP,2019-08,106.31449890136719
JP,2019-09,116.7061538696289
JP,2019-10,122.30165100097656
JP,2019-11,124.6997299194336
JP,2019-12,125.49906921386719
JP,2020-01,119.10421752929688
JP,2020-02,108.71257019042969
JP,2020-03,93.52478790283203
JP,2020-04,98.32093048095703
JP,2020-05,100.71900177001953
JP,2020-06,99.12027740478516
JP,2020-07,87.12992095947266
JP,2020-08,103.40347290039062
JP,2020-09,102.56278991699219
JP,2020-10,98.3593978881836
JP,2020-11,105.08483123779297
JP,2020-12,104.24414825439453
JP,2021-01,105.08483123779297
JP,2021-02,121.05773162841797
JP,2021-03,131.98654174804688
JP,2021-04,124.42044067382812
JP,2021-05,129.46450805664062
JP,2021-06,125.26112365722656
JP,2021-07,118.53569793701172
JP,2021-08,126.22319793701172
JP,2021-09,134.8686065673828
JP,2021-10,128.8168182373047
JP,2021-11,124.83990478515625
JP,2021-12,131.6697998046875
JP,2022-01,140.66104125976562
JP,2022-02,142.13076782226562
JP,2022-03,146.107666015625
JP,2022-04,147.4044647216797
JP,2022-05,142.39012145996094
JP,2022-06,146.0211944580078
