Country,Time,HICP (SA)
JP,1970-01,30.114559809727343
JP,1970-02,30.263935371379457
JP,1970-03,30.542985042655445
JP,1970-04,30.689489271285918
JP,1970-05,30.738338370514988
JP,1970-06,30.842456934417502
JP,1970-07,30.99004612142285
JP,1970-08,31.05933250510673
JP,1970-09,31.403476247257828
JP,1970-10,31.48538047455805
JP,1970-11,31.66781981493092
JP,1970-12,31.86406406936165
JP,1971-01,32.13026794623805
JP,1971-02,32.24333490681909
JP,1971-03,32.257135960109814
JP,1971-04,32.44917525561275
JP,1971-05,32.6910123334751
JP,1971-06,32.905265255493916
JP,1971-07,33.0756448373891
JP,1971-08,33.20477754355395
JP,1971-09,33.89915269435242
JP,1971-10,33.36889449632275
JP,1971-11,33.48847379344148
JP,1971-12,33.67675108242138
JP,1972-01,33.53416627902213
JP,1972-02,33.7930498518095
JP,1972-03,33.965915782243954
JP,1972-04,34.097373220808755
JP,1972-05,34.3419458302915
JP,1972-06,34.47344335953728
JP,1972-07,34.66565096763761
JP,1972-08,35.11093092557657
JP,1972-09,35.18264427430107
JP,1972-10,34.57290461937959
JP,1972-11,35.12402814299451
JP,1972-12,35.750736738539295
JP,1973-01,35.84508576010748
JP,1973-02,36.06395063422204
JP,1973-03,36.865829195735934
JP,1973-04,37.2381107817432
JP,1973-05,37.99821691252014
JP,1973-06,38.26493640056911
JP,1973-07,38.78298391888239
JP,1973-08,39.31116214525263
JP,1973-09,40.17375810848423
JP,1973-10,39.3788192101736
JP,1973-11,40.58050858298039
JP,1973-12,42.33017818223025
JP,1974-01,43.759420700551395
JP,1974-02,45.041821015664766
JP,1974-03,45.25001784264095
JP,1974-04,45.94169201239028
JP,1974-05,46.33596705873233
JP,1974-06,46.88306052203831
JP,1974-07,47.992761475904196
JP,1974-08,48.88559355211924
JP,1974-09,49.080169773839216
JP,1974-10,49.03213115180417
JP,1974-11,50.75467178579083
JP,1974-12,51.26988098840627
JP,1975-01,51.30556017214833
JP,1975-02,51.23370991905441
JP,1975-03,51.65825513040451
JP,1975-04,52.00609394921901
JP,1975-05,52.527826403512684
JP,1975-06,52.83569892256857
JP,1975-07,53.23317587714576
JP,1975-08,53.746641680857046
JP,1975-09,54.0825269343228
JP,1975-10,54.23705147120146
JP,1975-11,54.90657346318974
JP,1975-12,55.33086893575047
JP,1976-01,55.88919634955626
JP,1976-02,56.088628405291566
JP,1976-03,56.273704568341564
JP,1976-04,56.976714346479625
JP,1976-05,57.3614649565527
JP,1976-06,57.80233774224009
JP,1976-07,58.35339745095601
JP,1976-08,58.497592062249474
JP,1976-09,59.14747779998048
JP,1976-10,59.19832922232704
JP,1976-11,59.938333209765155
JP,1976-12,61.0344334897292
JP,1977-01,61.23077726019915
